fein	filing_date	stmt_of_purpose
454906583	2018-08-17	THE COLORADO LEAGUE ESTABLISHES AND MAINTAINS SAFE, QUALITY HIGH SCHOOL MOUNTAIN BIKE PROGRAMS IN COLORADO AND WYOMING. 5 CORE PRINCIPLES: INCLUSION: ALL STUDENT-ATHLETES PARTICIPATE, EQUALITY: FEMALE AND MALE STUDENT ATHLETES ARE TREATED EQUALLY, STRONG BODY: EMPHASIS ON WELLNESS THROUGH LIFESTYLE, NUTRITION AND EXERCISE. STRONG MIND: STUDENT: ATHLETES ARE STUDENTS FIRST. STRONG CHARACTER : STUDENT-ATHLETES ARE EXPECTED TO WORK HARD, RESPECT OTHERS AND GIVE BACK TO THEIR TEAMS AND COMMUNITIES.
841246560	2017-11-17	THE PURPOSE OF THE PTCO SHALL BE TO ASSIST IN ATTAINING THE HIGHEST LEVEL OF EDUCATION AND WELFARE FOR THE ENTIRE STUDENT BODY OF ARROWHEAD ELEMENTARY (2016 APPROX. 550 STUDENTS) THROUGH THE COOPERATIVE EFFORTS OF THE FACULTY AND STAFF, THE CHERRY CREEK DISTRICT COMMUNITY AND THE PARENTS.
841479412	2017-11-17	"THE PURPOSE OF CARS FOR CHARITY IS TO ACT AS THE ENABLING ENTITY FOR SMALLER TAX-EXEMPT NONPROFIT ORGANIZATIONS IN COLORADO TO ALLOW THESE ORGANIZATIONS TO BENEFIT FROM A ""VEHICLE DONATION"" FUNDRAISING PROGRAM.  CARS FOR CHARITY RUNS THE ""VEHICLE DONATION"" FUND-RAISING PROGRAM AND THIS PROGRAM RECYCLES CARS, BOATS, MOTORCYCLES AND MOTOR HOMES INTO CASH FOR THE 501(C)(3) COLORADO ORGANIZATIONS TO SUPPORT THEIR PROGRAMS AND SERVICES IN THE COMMUNITY.  AT THIS TIME THERE ARE NO PUBLICATIONS ISSUED."
272286848	2018-05-15	GOD SPACE SANCTUARY EXISTS AS A RELIGIOUS NON-PROFIT ORGANIZATION AND A SPIRITUAL RESOURCE TO NURTURE THE RELATIONSHIP BETWEEN HUMAN AND DIVINE WITHOUT DOGMA OR DISCRIMINATION, BUT WITHIN THE BOUNDS OF NON-VIOLENCE AND MUTUAL RESPECT.  MINISTERIAL ACTIVITIES ARE DIRECTED EXCLUSIVELY TO INDIVIDUALS AND SMALL GROUPS.  A WEBSITE IS MAINTAINED AT WWW.GODSPACESANCTUARY.ORG.  NO OTHER PUBLICATIONS BEYOND CALLING CARDS OR INFORMATIONAL BROCHURES HAVE BEEN PUBLISHED OR ARE CURRENTLY ANTICIPATED.  THE PRIMARY FACILITIES OF THE ORGANIZATION LOCATED AT THE OFFICIAL ADDRESS INCLUDE FOUR SPECIFIC MINISTERIAL SPACES, WHICH ARE INDIVIDUALLY DESCRIBED WITHIN THE WEBSITE.  POSSIBILITIES OF ACTIVITIES ARE ALSO DESCRIBED WITHIN THE WEBSITE.
474196329	2018-06-19	TO SPONSOR AND CONDUCT COMMUNITY EVENTS FOR THE BENEFIT AND EDUCATION OF THE RESIDENTS, TO PROMOTE, ENHANCE AND BUILD AWARENESS ABOUT COMMUNITY COOPERATION AND CIVIC INVOLVEMENT.
841518316	2018-08-06	PROMOTE, ENCOURAGE, AND FACILITATE AN ATMOSPHERE WHERE ALL ARE WELCOME TO JOIN-IN AND BECOME A PART OF RECREATIONAL AVIATION.  WE AWARD COLLEGE SCHOARSHIPS TO LOCAL HIGH SCHOOL GRADUATES PERSUING CAREERS IN AVIATION.  WE AWARD SCHOLARSHIPS TO LOCAL YOUTHS (8-17) TO ATTEND EAA NATIONA AIRACADEMY SUMMER CAMPS IN OSHKOSH, WI.
455185556	2018-03-01	JUNIPER RIDGE COMMUNITY SCHOOL IS A TUITION-FREE PUBLIC CHARTER SCHOOL USING THE WALDORF CURRICULUM SERVING OVER 300 STUDENTS IN GRAND JUNCTION, MESA COUNTY COLORADO.
742241840	2018-04-26	STUDENT SUPPORT, ENRICHMENT AND EDUCATION FOR STUDENTS AT BELL MIDDLE SCHOOL
454663620	2018-04-20	DRACO'S PRIMARY GOAL IS TO PROMOTE THE SPORT AND CULTURE OF DRAGON BOAT RACING IN COLORADO.  WE PROVIDE AN INCLUSIONARY, FAMILY-FRIENDLY TRAINING ENVIRONMENT WHERE EVERYONE IS ENCOURAGED TO PARTICIPATE, REGARDLESS OF AGE, ABILITY, FINANCIAL RESOURCES, POLITICAL/RELIGIOUS AFFILIATION, SEXUAL ORIENTATION, MEDICAL CONDITION, ETC.  OUR PROGRAMS ARE RECOGNIZED FOR PROVIDING A POSITIVE RECREATIONAL OUTLET FOR AT-RISK YOUTH, AND ENCOURAGE THE DEVELOPMENT OF CONFIDENCE, DISCIPLINE AND SELF-ESTEEM.  MOST RECENTLY, WE HAVE ESTABLISHED COLORADO S ONLY BREAST CANCER SURVIVOR (BCS) DRAGON BOAT PROGRAM.
841029228	2018-07-20	NAROPA IS NORTH AMERICA'S LEADING INSTITUTION IN CONTEMPLATIVE EDUCATION. ALL FUNDS ARE RAISED TO ASSIST OUR STUDENTS IN THE FORM OF SCHOLARSHIPS AND TO SUPPORT THE UNIVERSITY'S PROGRAMS AND INFRASTRUCTURE.
262198052	2018-07-26	THE MISSION OF CHRISTOPHER AMES MATTHEWS PROJECT, INC ( CAMP) IS TO PROVIDE SUSTAINABLE HOUSING OPTIONS FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITH EMPHASIS ON INDIVIDUALS WITH AUTISM AND / OR BEHAVIORAL CHALLENGES.  CAMP WAS CREATED IN MEMORY OF CHRISTOPHER AMES MATTHEWS WHO PASSED AWAY IN OCTOBER 2007.  CAMP CURRENTLY HAS ONE HOME THAT HOUSES THREE YOUNG ADULT MEN.  THESE MEN ARE TAUGHT INDEPENDENT LIVING SKILLS AND LIFE ORGANIZATIONAL SKILLS UNDER THE SUPERVISION OF A PROVIDER APPROVED SERVICE AGENCY IN EL PASO COUNTY, WITH THE HOPE THAT THEY WILL BE ABLE TO TRANSITION TO INDEPENDENT LIVING.  CAMP DISTRIBUTES ONE ANNUAL NEWSLETTER / SOLICITATION APPEAL WITH UPDATES ON THE PROGRESS OF THE HOME.
841472514	2017-11-16	TO HEAL THE WORLD THROUGH THE GIFT OF MUSIC. MMI ACHIEVES THIS VISION THROUGH EQUIPPING AND ENGAGING MUSICIANS IN MUSICAL OUTREACH. WE EQUIP MUSICIANS THROUGH PROVIDING INSTRUMENTS TO MUSICIANS THAT CANNOT AFFORD THEM. MMI HAS DISTRIBUTED OVER 600 INSTRUMENTS IN 15 DIFFERENT COUNTRIES ON 5 CONTINENTS. WE PROVIDE MUSICAL EDUCATION FOR MUSICIANS THAT CANNOT AFFORD IT. WE DO THIS THROUGH LOCAL MUSIC SCHOOLS IN COOPERATION WITH AFTER-SCHOOL MENTORING PROGRAMS AND LOCAL CHURCHES. WE ENGAGE MUSICIANS IN OUTREACH BY LEADING THE WAY IN BRINGING MUSIC TO NURSING HOMES, HOSPICE, ALZHEIMER'S UNITS, MENTAL HEALTH FACILITIES, CORRECTIONAL FACILITIES, ORPHANAGES, REHAB PROGRAMS AND HOSPITALS. WE HAVE SERVED IN THE DENVER WOMEN'S PRISON, (800 CLIENTS) SERVED WITH VISTACARE HOSPICE (500 CLIENTS), ST. PAUL HEALTH CARE CENTER (350 CLIENTS), CELEBRATE RECOVERY PROGRAM (1,000 CLIENTS), JOSHUA STATION HOMELESS TRANSITIONAL HOUSING, (180 CLIENTS). THOUSANDS OF PEOPLE HAVE FELT LOVED, CARED FOR, SUPPORTED AND MANY HAVE GAINED NEW HOPE THROUGH AN INSTRUMENT GIVEN, MUSIC BEING TAUGHT, A CONCERT BEING GIVEN, AND THERAPEUTIC MUSIC BEING PLAYED WHILE SOMEONE IS SICK OR DYING.
237348117	2018-01-25	THE BROOMFIELD HIGH SCHOOL BAND PARENTS ASSOCIATION'S MISSION IS TO SUPPORT THE BROOMFIELD HIGH SCHOOL BAND PROGRAMS THROUGH THE MANAGEMENT AND COORDINATION OF FINANCIAL AND VOLUNTEER RESOURCES TO THE EXTENT PRACTICABLE.  THE CLIENTS WE SERVE ARE THE 110 STUDENTS OF THE VARIOUS BAND PROGRAMS.  MARCHING BAND, JAZZ BAND, PERCUSSION ENSEMBLE, WINTER GUARD, CONCERT BAND, PEP BAND, AND SMALL ENSEMBLES PERFORM AND COMPETE IN VENUES IN THE STATE OF COLORADO AND ACROSS THE COUNTRY.
262039839	2018-05-02	TO OPERATE AND RESTORE THE HISTORIC WRIGHT OPERA HOUSE IN OURAY, COLORADO FOR THE PURPOSES OF ARTS AND CULTURAL ACTIVITIES TO RESIDENTS OF AND VISITORS TO OURAY.
364651863	2018-07-12	CREATED TO ENHANCE PUBLIC SAFETY AND LAW ENFORCEMENT IN THE DENVER COMMUNITY, THE DENVER POLICE FOUNDATION ACTS AS AN INDEPENDENT AND UNIQUE FUNDING AND ADVOCACY RESOURCE FOR THE DENVER POLICE DEPARTMENT WITH THE GOAL OF ENHANCING PUBLIC SAFETY AND LAW ENFORCEMENT IN THE DENVER COMMUNITY.
900129249	2018-07-24	WE DEVELOP A SENSE OF COMMUNITY IN PUBLIC HOUSING AROUND CARING FOR ANIMALS. WE DO THAT THROUGH THREE PROGRAMS:   1) NEIGHBORHOOD RUN ANIMAL HEALTH & SAFETY;   2) JANE GOODALL ROOTS & SHOOTS:   3) RESEARCH AND KNOWLEDGE SHARING.    2017 RESULTS:   * 22 PUBLIC HOUSING PROPERTIES PARTICIPATED  * 73 FAMILIES PARTICIPATED  * 107 ANIMALS SUPPORTED (77 SPAY/NEUTERS; 87 VACCINATIONS; 43 MICROCHIPS; 19 MOUSERS; 22 RELINQUISHED/6 ABANDONED ANIMALS; 40 ADOPTIONS)  * COLLECTED AND MANAGED DATA ON CHANGING PUBLIC HOUSING NEIGHBORHOODS  * PRESENTED FINDINGS ABOUT CHANGING PUBLIC HOUSING NEIGHBORHOODS
311653556	2018-02-21	WE INSPIRE, EDUCATE, CONNECT, AND ADVOCATE FOR THE GLOBAL SPACE COMMUNITY
237303107	2018-07-23	SEPTEMBER HIGH SCHOOL IS AN INTIMATE AND SUPPORTIVE COMMUNITY THAT FOSTERS INDIVIDUAL DEVELOPMENT AND REAWAKENS THE LOVE OF LEARNING. WE EMPOWER OUR STUDENTS TO BE CRITICAL THINKERS, LIFELONG LEARNERS, AND RESPONSIBLE CITIZENS.    WE HAVE 30-35 STUDENTS PER YEAR.  STUDENTS FROM SEPTEMBER SCHOOL GRADUATE WITH WELL-ROUNDED ACADEMIC SKILLS, IN-DEPTH EXPOSURE TO THE ARTS, AND THE EXPERIENCE OF BELONGING TO A COMMUNITY. THIS COMBINATION PREPARES THE STUDENT WELL FOR CHALLENGES BEYOND HIGH SCHOOL. OVER EIGHTY PERCENT OF SEPTEMBER SCHOOL GRADUATES CONTINUE THEIR EDUCATION AT THE COLLEGE OR UNIVERSITY LEVEL. WHEN THEY LEAVE US, THEY LEAVE PREPARED NOT ONLY FOR COLLEGE, BUT PREPARED FOR LIFE.
260871391	2018-08-09	THE SPECIFIC PURPOSES AND OBJECTIVES OF THE FOUNDATION SHALL INCLUDE BUT NOT BE LIMITED TO THE FOLLOWING: (A) PROVIDE BEREAVEMENT RESOURCES FOR LIBRARIES, SCHOOLS, HOSPITALS, HOSPICES, NURSING CENTERS, ASSISTED LIVING FACILITIES AND SUPPORT GROUPS; (B) PROVIDE COMMUNITY EDUCATION OF HOME HEALTH AND HOSPICE SERVICES; (C) PROVIDE FINANCIAL ASSISTANCE FOR MEDICAL SERVICES, MEDICATIONS AND GENERAL ASSISTANCE TO TERMINALLY ILL INDIVIDUALS AND THEIR FAMILIES WHO HAVE NO ABILITY TO PAY; (D) PROVIDE FINANCIAL ASSISTANCE BY SUPPLEMENTING UNINSURED/UNDERINSURED CARE; (E) PRESENT PUBLIC AWARENESS CAMPAIGNS THAT PROMOTE THE IMPORTANCE OF HOSPICE CARE; AND (F) GRANT TERMINALLY ILL PATIENTS FINAL WISHES.
471703540	2018-04-13	TO MOBILIZE, TRAIN, AND EQUIP FAITH-BASED CITIZENS FOR EFFECTIVE CIVIC ACTION. FAITH AND FREEDOM MOBILIZES THESE CITIZENS TO EDUCATE CITIZENS AND AFFECT SOUND PUBLIC POLICY
840722874	2018-07-27	ORGANIZATION IS AN ALL VOLUNTEER AND ALL SEASON SEARCH AND RESCUE GROUP THAT CURRENTLY FIELDS OVER 150 CALLS FROM '911' EMERGENCY DISPATCH PER YEAR.  OF THOSE EMERGENCY CALLS INTO 911, WE SEND RESPONSE TEAMS INTO THE FIELD ON ABOUT 70 TO 75 INSTANCES EACH YEAR.  SCRG SERVES SUMMIT COUNTY, BUT ALSO PROVIDES ASSISTANCE TO ANY OTHER COUNTY IN THE STATE THAT REQUESTS SUCH SERVICES.
743046240	2018-08-16	SAFE HARBOR LAB RESCUE'S MISSION IS TO RESCUE AND SUCCESSFULLY REHOME STRAY, ABANDONED OR SURRENDERED LABRADOR RETRIEVERS LOCATED PRIMARILY IN COLORADO. WE PARTNER WITH PROFESSIONALS TO PROVIDE MEDICAL CARE, TRAINING RESOURCES AND BREED EDUCATION. OVER 3,510 LABS HAVE BEEN RESCUED THROUGH DEC 2017.
260798476	2018-08-22	WE EXPAND THE WORLD OF PEOPLE WITH DISABILITIES AND LOW INCOME (AT-RISK) YOUTH THROUGH BIKE PROGRAMS.  THIS INCLUDES BIKE RIDES OF VARIOUS LENGTHS AND ABILITIES AS WELL AS TEACHING JOB SKILLS THROUGH THE REFURBISHING AND RESELLING OF BICYCLES.  WE ALSO SAVE BIKES FROM EITHER GOING INTO THE LANDFILL SYSTEM OR WORSE THROUGH THE ACCEPTANCE OF BIKES FOR REPURPOSING.  WE HAVE WORKED WITH OVER 2000 INDIVIDUALS WITH DISABILTIES, TAKING THEM ON BIKE RIDES AND EXPANDING THEIR WORLD  WE HAVE ALSO WORKED WITH NUMEROUS PEOPLE WITH DISABILITIES TO TEACH THEM HOW TO REPAIR BICYCLES.
208894342	2018-02-02	LOVE LIGHT & MELODY IS A NON-PROFIT ORGANIZATION THAT SERVES VULNERABLE CHILDREN BY AMPLIFYING THEIR STORIES, INSPIRING HOPE FOR THEM THROUGH ART, MUSIC AND SPORTS, AND TRANSFORMING THEIR LIVES THROUGH EDUCATION.
472260598	2018-07-18	THE ROYAL KREWE OF SPARTA OWNS AND OPERATES A PARADE FLOAT FOR THE UNIVERSITY OF TAMPA AND THE UNIVERSITY OF TAMPA ALUMNI ASSOCIATION. THERE ARE APPROXIMATELY 45 ALUMNI WHO RIDE THE FLOAT ON AN ANNUAL BASIS.  A PORTION OF THE FUNDS WE RECEIVE ARE USED FOR ROYAL KREWE OF SPARTA ANNUAL ENDOWMENT FUND ON BEHALF OF THE RIDERS.
462214380	2018-08-10	THE FOUNDATION IS FORMED FOR THE PURPOSE OF CARRYING OUT THE SITE LOCATION, FORM, DESIGN, CONSTRUCTION, MAINTENANCE, REPAIR, REPLACEMENT AND IMPROVEMENT NEEDS ASSOCIATED WITH THE PERMANENT 7/20 MEMORIAL FOR THE VICTIMS OF THE SHOOTING AT THE AURORA CENTURY THEATER ON JULY 20, 2012 (THE  MEMORIAL ). THE FOUNDATION WILL RECEIVE CONTRIBUTIONS, ADMINISTER THE FUNDING FOR THE MEMORIAL, DIRECT THE DETERMINATION FOR A LOCATION AND DESIGN FOR THE MEMORIAL, MANAGE THE CONSTRUCTION OF THE MEMORIAL, OVERSEE THE MAINTENANCE, REPAIR AND REPLACEMENT OF THE MEMORIAL AS NECESSARY, AND GENERALLY ENSURE THE INTEGRITY OF THE MEMORIAL.
472823438	2018-08-08	GOFARM'S PURPOSE IS TO INCREASE LOCAL SUPPLY AND INCREASE ACCESS TO MORE AFFORDABLE, FRESH, HEALTHY FOOD IN THE GREATER GOLDEN AND ARVADA AREA.
841039305	2018-08-17	"THE WOMEN'S FOUNDATION OF COLORADO, INC. (THE ""FOUNDATION"") WAS FOUNDED IN 1986.  THE MISSION OF THE FOUNDATION IS CATALYZING COMMUNITY TO ADVANCE AND ACCELERATE ECONOMIC OPPORTUNITIES FOR COLORADO WOMEN AND THEIR FAMILIES."
200348200	2017-08-24	THE NORTHERN COLORADO FOOD CLUSTER'S MISSION IS TO PROMOTE FOOD SYSTEMS-LED COMMUNITY ECONOMIC DEVELOPMENT AND INDUSTRY INTEGRATION IN THE NORTHERN COLORADO REGION. WE HAVE 30 MEMBERS THAT INCLUDE COMMUNITY MEMBERS AND LOCAL BUSINESSES. WE HOST OVER 10 EVENTS PER YEAR THAT BRING IN BETWEEN 30-60 ATTENDEES. WE RUN A WINTER FARMERS MARKET IN FORT COLLINS, WE WORK ON FOOD ACCESS ISSUES IN NORTHERN COLORADO AND WE BRING IN RESOURCES FOR NEW AND EXISTING AGRICULTURE AND FOOD SUPPLY CHAIN BUSINESSES.
611699685	2017-09-01	THIS IS A FRATERNITY AT THE UNIVERSITY OF COLORADO, BOULDER. IT IS A SOCIAL FRATERNITY THAT HOSTS CHARITY EVENTS, AND IN THE PAST, HAS HELD CHARITY EVENTS BENEFITING LIVESTRONG, RAINN AND HOMES FOR OUR TROOPS. THIS IS AN ORGANIZATION WITH GOALS THAT ARE NOT FOR PROFIT, BUT FOR SERVICE.
840691371	2017-07-18	ATLANTIS COMMUNITY, INC. (ACI) IS A CENTER FOR INDEPENDENT LIVING PROVIDING INDEPENDENT LIVING SERVICES TO PEOPLE WITH DISABILITIES FOR OVER 40 YEARS. ACI OFFERS AN ARRAY OF SERVICES TO ASSIST INDIVIDUALS WITH DISABILITIES TO LIVE INDEPENDENTLY IN THE COMMUNITY. ACI OFFERS FIVE CORE SERVICES: INDIVIDUAL AND SYSTEM ADVOCACY; INFORMATION AND REFERRAL; INDEPENDENT LIVING SKILLS TRAINING; PEER SUPPORT; AND, TRANSITION SERVICES. ACI ALSO MANAGES A SECTION 8 HOUSING PROGRAM. ACI SERVES CONSUMERS IN THE FOLLOWING SEVEN COUNTIES: ADAMS, ARAPAHOE, DENVER, JEFFERSON, CLEAR CREEK, DOUGLAS, AND ELBERT
820809862	2017-11-17	COLORADO MUSIC COALITION S PURPOSE IS TO BUILD COMMUNITY THROUGH MUSIC BY RAISING AWARENESS AND FUNDS AND ENGAGING MEMBERS OF THE COMMUNITY IN SUPPORT OF MUSIC EDUCATION FOR COLORADO S STUDENTS AND IN CELEBRATION OF COLORADO S RICH MUSICAL CULTURE AND HERITAGE.      TAKE NOTE COLORADO IS ONE OF THE INITIATIVES OF COLORADO MUSIC COALITION WITH THE OBJECTIVE TO PROVIDE EVERY CHILD IN COLORADO, FROM KINDERGARTEN THROUGH 12TH GRADE, THE CHANCE TO IGNITE THEIR MUSICAL PASSION BY PROVIDING ACCESS TO MUSICAL INSTRUMENTS AND PROFESSIONAL INSTRUCTION.   COLORADO MUSIC COALITION WILL RESEARCH AND VET OTHER MUSIC-FOCUSED NONPROFIT ORGANIZATIONS AND PROGRAMS WITH WHICH TO PARTNER TO INCREASE THE MUSIC EDUCATIONAL OPPORTUNITIES AND EXPERIENCES FOR COLORADO S YOUTH.
270762886	2017-10-13	FOOTPRINTS IS A COLORADO BASED NON-PROFIT THAT SERVES TEENS AND YOUNG ADULTS WITH LIMB LOSS AND LIMB DIFFERENCES.  IN THE U.S. THERE IS A REPORTED 1.7 MILLION PEOPLE WITH LIMB LOSS OR LIMB DIFFERENCE, OF WHICH 70,000 ARE UNDER THE AGE OF 18.  PEOPLE WITH LIMB LOSS AND LIMB DIFFERENCES FROM AGE 16 TO 50 HAVE THE FEWEST SPECIALIZED SERVICES OUT OF ANY SPECIAL NEEDS GROUP.  FOOTPRINTS ADVENTURES INC. PROVIDES OPPORTUNITIES FOR THIS POPULATION.
815312474	2018-08-17	THE PURPOSES AND OBJECTIVES OF THE CORPORATION WILL INCLUDE, BUT NOT BE LIMITED TO, FINDING A CURE FOR EVERY PATIENT DIAGNOSED WITH RHABDOMYOSARCOMA, PROMOTING EARLY DETECTION, AND SERVING AS A SOURCE OF SUPPORT TO THE PATIENTS AND FAMILIES IMPACTED BY CHILDHOOD CANCER.
900762184	2018-04-12	WE ARE A PARENT/TEACHER ASSOCIATION OF HOMESTAKE PEAK SCHOOL. OUR PRIMARY PURPOSE IS TO SERVICE OUR STUDENTS, TEACHERS AND SCHOOL COMMUNITY IN FURTHERING THE EDUCATION PROCESS.
202509841	2018-05-11	SCHR IS DEDICATED TO PROVIDING A 2ND CHANCE FOR ABUSED, NEGLECTED,OUTGROWN,& UNWANTED EQUINES OF ALL BREEDS.OUR EMPHASIS & GOALS BEING REHABILITATION & ADOPTION INTO LOVING, FOREVER HOMES. AND TO HELP EDUCATE THE PUBLIC ON BETTER HORSE CARE, HANDLING, AND NUTRITION.  CLIENTS SERVED-400/ 2009  NO PUBLICATIONS - SAVING A PERFECTLY WONDERFUL HORSE FROM DEATH IN THE WRONG HANDS IS IMMEASURABLE.
300247544	2018-06-29	COMMUNITY OUTREACH FOR TEENS AND ADULTS. WORKING WITH LOCAL GROUPS LIKE HUMAN SERVICES AND THE BOY'S AND GIRL'S CLUB. WE ALSO SEND OUT MONTHLY CALENDERS TO KEEP PEOPLE UPDATED ON WHAT WE ARE DOING. WE DO SEVERAL OUTREACHES EVERY YEAR INCLUDING FOOD,MUSIC,VOLUNTEER WORK AND EVANGELISM. WE HAVE REACHED HUNDREDS OF INDIVIDUALS STRUGGLING IN THE AREAS OF DISCOURAGEMENT,ABUSE,SELF ESTEEM AND POVERTY. WE WILL CONTINUE TO DO OUR BEST TO SPEAK HOPE INTO THE LIVES OF ALL WE MEET.  WE ALSO WORK WITH OUR TOWN TO PUT ON MOVIES IN THE PARK DURING THE SUMMER MONTHS.
840988973	2017-12-12	LPFCC SERVES FAMILIES IN RURAL COMMUNITIES IN SW COLORADO, INCLUDING LA PLATA AND ARCHULETA COUNTIES.  WE BELIEVE IN SUPPORTING THE TWO-GENERATIONAL APPROACH BY EMPOWERING PARENTS TO FOSTER POSITIVE, HEALTHY RELATIONSHIPS WITH THEIR CHILDREN WITH THE ASSISTANCE OF GROUP CONNECTIONS, GOAL SETTING, FINANCIAL COACHING, BEHAVIORAL CHANGE, AND OTHER NEEDED SERVICES TO ACHIEVE SELF-RELIANCE.  THESE SUPPORTS BUILD NURTURING ENVIRONMENTS FOR CHILDREN SO THEY CAN THRIVE AND FAMILY STRENGTHENING BREAKS THE CYCLE OF MULTIGENERATIONAL DISPARITY.  IN FISCAL YEAR 2016-2017 THE LA PLATA FAMILY CENTERS COALITION (LPFCC) SERVED 2,280 FAMILIES. DURING THE LAST FISCAL YEAR, 18,153 SERVICES WERE PROVIDED TO 1,055 UNDUPLICATED FAMILIES AND 1,548 UNDUPLICATED PARTICIPANTS AND 2,280 GENERAL SERVICES.  39% FALL UNDER THE 0-100% OF POVERTY LEVEL AND 22% WERE BETWEEN 101 AND 200% POVERTY LEVEL.
840733251	2018-07-18	PURPOSE:  THE ELIZABETH GUILD  THRIFT SHOP PROMOTES AND ADVANCES THE WELFARE OF ESTES PARK MEDICAL CENTER AND PROSPECT PARK LIVING CENTER.  WE ENGAGE IN FUND RAISING FOR THE PURPOSE OF MAINTAINING AND IMPROVING THE MEDICAL CENTER.    CLIENTS SERVED:  ALL RESIDENTS OF ESTES PARK AND THE ESTES VALLEY.  WINTER RESIDENT POPULATION IS APPROXIMATELY 5,000.  SUMMER INCREASES TO APPROXIMATELY 50,000.    WE HAVE NO OFFICIAL PUBLICATIONS.    ACHIEVEMENTS THAT ARE NOT MEASUREABLE:      1.  WE PROVIDE AN OUTLET FOR THOSE INDIVIDUALS NEEDING TO DO COMMUNITY SERVICE.      2.  WE ARE A LARGE RECYCLING OUTLET FOR UNWANTED ITEMS.    3.  WE PROVIDE A SPIRITUAL AND EMOTIONAL CONNECTION WITH THE COMMUNITY - LOCALS AND TOURISTS ALIKE.  THERE IS A RICH SATISFACTION ENJOYED BY VOLUNTEERS.  THIS IMMEASUREABLE FEELING DRAWS EVERYONE TO THE ELIZABETH GUILD THRIFT SHOP TIME AFTER TIME.
475180520	2018-07-17	THE ORGANIZATION IS ESTABLISHED TO HELP UNITED STATES VETERANS AND THEIR FAMILIES CREATE A FOUNDATION FOR A SUCCESSFUL LIFE.
742232416	2018-08-08	THE CENTER FOR ENRICHED COMMUNICATIONS, INC.'S DBA THE COUNSELING AND EDUCATION CENTER, PURPOSE IS TO PROVIDE AFFORDABLE MENTAL HEALTH CARE SERVICES BASED ON NEED, NOT ABILITY TO PAY. WE SERVE OVER 500 CLIENTS ANNUALLY BY PROVIDING INDIVIDUAL, COUPLE, FAMILY AND GROUP THERAPY.   BY IMPROVING THE MENTAL HEALTH OF THE MOST NEEDY IN MESA COUNTY, WE IMPROVE THEIR ABILITY TO BECOME AND CONTINUE AS CONTRIBUTING MEMBERS OF THE COMMUNITY WHO MAINTAIN JOBS, SELF-SUFFICIENCY, AND CAN BE LESS DEPENDENT ON SOCIAL SERVICE AGENCIES.
841268587	2017-12-08	THE URBAN SERVANT CORPS HOUSES UP TO 18 FULL TIME VOLUNTEERS ANNUALLY FOR A YEAR OF SERVICE, INTENTIONAL COMMUNITY LIVING, PROFESSIONAL DEVELOPMENT AND PERSONAL GROWTH.  EACH VOLUNTEER IS PLACED AT A NON-PROFIT ORGANIZATION IN DENVER. LAST YEAR, 15 URBAN SERVANT CORPS PARTICIPANTS OFFERED APPROXIMATELY 31,200 VOLUNTEER HOURS IN SERVICE TO THOSE WHO ARE MOST IN NEED IN DENVER. AT A RATE OF $21 PER HOUR, THIS CONTRIBUTION TO THE DENVER NON-PROFIT SECTOR IS VALUED AT $655,200 IN 2016.   ANOTHER (LESS MEASURABLE) ACHIEVEMENT IS ATTRIBUTED TO THE LEADERSHIP OPPORTUNITIES, PROFESSIONAL DEVELOPMENT, AND CONTINUING EDUCATION THAT URBAN SERVANT CORPS VOLUNTEERS HAVE DURING THEIR  YEAR OF SERVICE. WEEKLY INTENTIONAL GATHERINGS ALLOW PARTICIPANTS TO BE IN CONVERSATION ABOUT SOCIAL JUSTICE, SYSTEMIC ISSUES OF POVERTY, SUSTAINABLE PRACTICES, AND HOW THEIR FAITH PLAYS A ROLE IN THESE CHALLENGING ISSUES. AN UNMEASURABLE AMOUNT OF PERSONAL AND PROFESSIONAL GROWTH HAPPENS AS VOLUNTEERS LIVE IN INTENTIONAL COMMUNITY AND SERVE FULL-TIME AT NON-PROFIT ORGANIZATIONS.
202635067	2018-01-26	TO PROMOTE THE UNDERSTANDING OF THE BIBLE AND THE GOSPEL OF JESUS CHRIST, EDUCATE THE PUBLIC, BIBLICAL RESEARCH.
846035598	2018-05-16	TO PROMOTE EDUCATIONAL AND CHARITABLE PURPOSES BY PROVIDING SCHOLARSHIPS, STUDENT AID, AND ASSISTANCE TO NEEDY AND DESERVING STUDENTS AND BY THE DEVELOPMENT OF EDUCATIONAL WORK IN THE CHAPTERS OF DELTA SIGMA PHI FRATERNITY.
840659180	2018-07-20	CREATE AFFORDABLE HOUSING OPPORTUNITIES IN LOVELAND CO,  FOR FAMILIES, SENIORS, AND PEOPLE WITH SPECIAL NEEDS.
841328334	2017-11-08	SPIRITUAL GROWTH ORIENTED CHRISTIAN MINISTRY TO PRISON INMATES VIA NEWSLETTERS, SPIRITUAL GROWTH LESSONS, AND DIRECT CORRESPONDANCE. CA IS CURRENTLY DISTRIBUTING QUARTERLY NEWSLETTERS AND LESSONS TO 568 INMATES ACROSS THE UNITED STATES IN 43 STATES AND 311 PRISONS.
